"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT4G16250",9846,0.09,"phytochrome D(PHYD)","PHYD"
"AT4G20300",9584,0.09,"Serine/Threonine-kinase, putative (DUF1639)(AT4G20300)","AT4G20300"
"AT4G28030",9533,0.09,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT4G28030)","AT4G28030"
"AT4G29170",9584,0.09,"Mnd1 family protein(ATMND1)","ATMND1"
"AT4G32660",9560,0.09,"Protein kinase superfamily protein(AME3)","AME3"
"AT4G38950",9586,0.09,"ATP binding microtubule motor family protein(AT4G38950)","AT4G38950"
"AT4G39950",9567,0.09,"cytochrome P450, family 79, subfamily B, polypeptide 2(CYP79B2)","CYP79B2"
"AT5G02170",9586,0.09,"Transmembrane amino acid transporter family protein(AT5G02170)","AT5G02170"
"AT5G02590",9844,0.09,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G02590)","AT5G02590"
"AT5G06550",6970,0.09,"transferring glycosyl group transferase(AT5G06550)","AT5G06550"
"AT5G07630",9874,0.09,"lipid transporter(AT5G07630)","AT5G07630"
"AT5G12310",9567,0.09,"RING/U-box superfamily protein(AT5G12310)","AT5G12310"
"AT5G14970",9874,0.09,"seed maturation-like protein(AT5G14970)","AT5G14970"
"AT5G15330",9874,0.09,"SPX domain-containing protein 4(SPX4)","SPX4"
"AT5G18660",9550,0.09,"NAD(P)-binding Rossmann-fold superfamily protein(PCB2)","PCB2"
"AT5G40382",9584,0.09,"Cytochrome c oxidase subunit Vc family protein(AT5G40382)","AT5G40382"
"AT5G42040",9518,0.09,"regulatory particle non-ATPase 12B(RPN12b)","RPN12b"
"AT5G45060",9944,0.09,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G45060)","AT5G45060"
"AT5G47110",9846,0.09,"Chlorophyll A-B binding family protein(LIL3:2)","LIL3:2"
"AT5G57280",9518,0.09,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(RID2)","RID2"
"AT5G57670",9543,0.09,"Protein kinase superfamily protein(AT5G57670)","AT5G57670"
"AT5G60360",6970,0.09,"aleurain-like protease(ALP)","ALP"
"AT1G05150",9518,0.089,"Calcium-binding tetratricopeptide family protein(AT1G05150)","AT1G05150"
"AT1G07960",9526,0.089,"PDI-like 5-1(PDIL5-1)","PDIL5-1"
"AT1G28820",9587,0.089,"tRNA(AT1G28820)","AT1G28820"
"AT1G28890",9598,0.089,"tRNA(AT1G28890)","AT1G28890"
"AT1G29340",9844,0.089,"plant U-box 17(PUB17)","PUB17"
"AT1G53520",9533,0.089,"Chalcone-flavanone isomerase family protein(FAP3)","FAP3"
"AT1G57630",9531,0.089,"Toll-Interleukin-Resistance (TIR) domain family protein(AT1G57630)","AT1G57630"
"AT1G61990",9568,0.089,"Mitochondrial transcription termination factor family protein(AT1G61990)","AT1G61990"
"AT1G68330",9584,0.089,"membrane-associated kinase regulator(AT1G68330)","AT1G68330"
"AT1G80380",9598,0.089,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G80380)","AT1G80380"
"AT2G04830",9832,0.089,"F-box only protein (DUF295)(AT2G04830)","AT2G04830"
"AT2G05110",9531,0.089,"hypothetical protein(AT2G05110)","AT2G05110"
"AT2G21260",9845,0.089,"NAD(P)-linked oxidoreductase superfamily protein(AT2G21260)","AT2G21260"
"AT2G28430",9819,0.089,"zinc finger, C3HC4 type family protein(AT2G28430)","AT2G28430"
"AT2G34770",9944,0.089,"fatty acid hydroxylase 1(FAH1)","FAH1"
"AT2G41640",9518,0.089,"Glycosyltransferase family 61 protein(AT2G41640)","AT2G41640"
"AT2G45245",9593,0.089,"ncRNA(AT2G45245)","AT2G45245"
"AT3G01300",9855,0.089,"Protein kinase superfamily protein(AT3G01300)","AT3G01300"
"AT3G02010",8357,0.089,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G02010)","AT3G02010"
"AT3G02160",9588,0.089,"Bromodomain transcription factor(AT3G02160)","AT3G02160"
"AT3G22220",9526,0.089,"hAT transposon superfamily(AT3G22220)","AT3G22220"
"AT3G43440",9905,0.089,"jasmonate-zim-domain protein 11(JAZ11)","JAZ11"
"AT3G44820",9557,0.089,"Phototropic-responsive NPH3 family protein(AT3G44820)","AT3G44820"
"AT3G45980",9845,0.089,"Histone superfamily protein(HTB9)","HTB9"
"AT3G54150",9550,0.089,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G54150)","AT3G54150"
"AT3G59440",9819,0.089,"Calcium-binding EF-hand family protein(AT3G59440)","AT3G59440"
"AT4G04480",6970,0.089,"F-box protein with a domain protein(AT4G04480)","AT4G04480"
"AT4G05000",9588,0.089,"Vacuolar protein sorting-associated protein VPS28 family protein(VPS28-2)","VPS28-2"
"AT4G13210",9845,0.089,"Pectin lyase-like superfamily protein(AT4G13210)","AT4G13210"
"AT4G35730",8357,0.089,"Regulator of Vps4 activity in the MVB pathway protein(AT4G35730)","AT4G35730"
"AT4G36500",9522,0.089,"hypothetical protein(AT4G36500)","AT4G36500"
"AT4G38620",9598,0.089,"myb domain protein 4(MYB4)","MYB4"
"AT4G38780",6970,0.089,"pre-mRNA-processing-splicing factor-like protein(AT4G38780)","AT4G38780"
"AT5G02420",9533,0.089,"cyclin-dependent kinase inhibitor SMR3-like protein(AT5G02420)","AT5G02420"
"AT5G03660",9880,0.089,"transcriptional activator (DUF662)(AT5G03660)","AT5G03660"
"AT5G04990",9601,0.089,"SAD1/UNC-84 domain protein 1(SUN1)","SUN1"
"AT5G09500",9526,0.089,"Ribosomal protein S19 family protein(AT5G09500)","AT5G09500"
"AT5G12240",9531,0.089,"octanoyltransferase(AT5G12240)","AT5G12240"
"AT5G13205",9871,0.089,"hypothetical protein(AT5G13205)","AT5G13205"
"AT5G16250",9584,0.089,"transmembrane protein(AT5G16250)","AT5G16250"
"AT5G17290",9560,0.089,"autophagy protein Apg5 family(APG5)","APG5"
"AT5G18640",9543,0.089,"alpha/beta-Hydrolases superfamily protein(AT5G18640)","AT5G18640"
"AT5G62280",9905,0.089,"DUF1442 family protein (DUF1442)(AT5G62280)","AT5G62280"
"AT5G64030",9832,0.089,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G64030)","AT5G64030"
"AT5G66160",9547,0.089,"receptor homology region transmembrane domain ring H2 motif protein 1(RMR1)","RMR1"
"AT1G08910",9874,0.088,"zinc ion binding protein(AT1G08910)","AT1G08910"
"AT1G17980",9584,0.088,"poly(A) polymerase 1(PAPS1)","PAPS1"
"AT1G19680",9533,0.088,"RING/U-box superfamily protein(AT1G19680)","AT1G19680"
"AT1G29179",9547,0.088,"cysteine/histidine-rich C1 domain protein(AT1G29179)","AT1G29179"
"AT1G64390",9547,0.088,"glycosyl hydrolase 9C2(GH9C2)","GH9C2"
"AT1G69900",9944,0.088,"Actin cross-linking protein(AT1G69900)","AT1G69900"
"AT1G78840",9526,0.088,"F-box/RNI-like/FBD-like domains-containing protein(AT1G78840)","AT1G78840"
"AT1G80710",9587,0.088,"DROUGHT SENSITIVE 1(DRS1)","DRS1"
"AT2G16850",9584,0.088,"plasma membrane intrinsic protein 2;8(PIP2;8)","PIP2;8"
"AT2G21140",9557,0.088,"proline-rich protein 2(PRP2)","PRP2"
"AT2G28440",9825,0.088,"proline-rich family protein(AT2G28440)","AT2G28440"
"AT2G30170",9518,0.088,"Protein phosphatase 2C family protein(PBCP)","PBCP"
"AT2G31940",9944,0.088,"oxidoreductase/transition metal ion-binding protein(AT2G31940)","AT2G31940"
"AT2G36340",9588,0.088,"DNA-binding storekeeper protein-related transcriptional regulator(AT2G36340)","AT2G36340"
"AT2G45210",9584,0.088,"SAUR-like auxin-responsive protein family(SAUR36)","SAUR36"
"AT3G02070",9543,0.088,"Cysteine proteinases superfamily protein(AT3G02070)","AT3G02070"
"AT3G05270",9598,0.088,"filament-like protein (DUF869)(AT3G05270)","AT3G05270"
"AT3G09710",9832,0.088,"IQ-domain 1(IQD1)","IQD1"
"AT3G16200",9832,0.088,"DNA-directed RNA polymerase subunit beta(AT3G16200)","AT3G16200"
"AT3G18680",9588,0.088,"Amino acid kinase family protein(AT3G18680)","AT3G18680"
"AT3G30580",9586,0.088,"hypothetical protein(AT3G30580)","AT3G30580"
"AT4G02320",9598,0.088,"Plant invertase/pectin methylesterase inhibitor superfamily(AT4G02320)","AT4G02320"
"AT4G04157",9522,0.088,"hypothetical protein(AT4G04157)","AT4G04157"
"AT4G15770",9547,0.088,"RNA binding protein(AT4G15770)","AT4G15770"
"AT4G19045",9550,0.088,"Mob1/phocein family protein(AT4G19045)","AT4G19045"
"AT4G31351",9550,0.088,"hypothetical protein(AT4G31351)","AT4G31351"
"AT4G33110",9832,0.088,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G33110)","AT4G33110"
"AT4G37225",9560,0.088,"ncRNA(AT4G37225)","AT4G37225"
"AT5G02940",9819,0.088,"ion channel POLLUX-like protein, putative (DUF1012)(AT5G02940)","AT5G02940"
"AT5G04610",9586,0.088,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G04610)","AT5G04610"
"AT5G12920",9522,0.088,"Transducin/WD40 repeat-like superfamily protein(AT5G12920)","AT5G12920"
"AT5G15540",9584,0.088,"PHD finger family protein(EMB2773)","EMB2773"
"AT5G18720",9587,0.088,"DNAJ heat shock amino-terminal domain protein, putative (DUF3444)(AT5G18720)","AT5G18720"
"AT5G27650",9524,0.088,"Tudor/PWWP/MBT superfamily protein(AT5G27650)","AT5G27650"
"AT5G42360",9944,0.088,"Galactose oxidase/kelch repeat superfamily protein(AT5G42360)","AT5G42360"
"AT5G48310",9526,0.088,"portal protein(AT5G48310)","AT5G48310"
"AT5G51210",9844,0.088,"oleosin3(OLEO3)","OLEO3"
"AT5G58595",8357,0.088,"ncRNA(AT5G58595)","AT5G58595"
"AT5G65880",9557,0.088,"transmembrane protein(AT5G65880)","AT5G65880"
"ATCG00110",9524,0.088,"TRNR.1","TRNR.1"
"AT1G04340",9601,0.087,"HR-like lesion-inducing protein-like protein(AT1G04340)","AT1G04340"
"AT1G10040",9543,0.087,"alpha/beta-Hydrolases superfamily protein(AT1G10040)","AT1G10040"
"AT1G27100",8357,0.087,"Actin cross-linking protein(AT1G27100)","AT1G27100"
"AT1G30490",9880,0.087,"Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein(PHV)","PHV"
"AT1G31300",9522,0.087,"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein(AT1G31300)","AT1G31300"
"AT1G31720",9874,0.087,"chitin synthase, putative (DUF1218)(AT1G31720)","AT1G31720"
"AT1G36430",9586,0.087,"hypothetical protein(AT1G36430)","AT1G36430"
"AT1G44941",9560,0.087,"hypothetical protein(AT1G44941)","AT1G44941"
"AT1G52130",9543,0.087,"Mannose-binding lectin superfamily protein(AT1G52130)","AT1G52130"
"AT1G73920",9526,0.087,"alpha/beta-Hydrolases superfamily protein(AT1G73920)","AT1G73920"
"AT1G76700",9522,0.087,"DNAJ heat shock N-terminal domain-containing protein(AT1G76700)","AT1G76700"
"AT2G05210",9587,0.087,"Nucleic acid-binding, OB-fold-like protein(AtPOT1a)","AtPOT1a"
"AT3G09870",9531,0.087,"SAUR-like auxin-responsive protein family(AT3G09870)","AT3G09870"
"AT3G20080",9568,0.087,"cytochrome P450, family 705, subfamily A, polypeptide 15(CYP705A15)","CYP705A15"
"AT3G21530",9825,0.087,"DNAse I-like superfamily protein(AT3G21530)","AT3G21530"
"AT3G28310",9855,0.087,"hypothetical protein (DUF677)(AT3G28310)","AT3G28310"
"AT3G49840",9560,0.087,"transmembrane protein (DUF2215)(AT3G49840)","AT3G49840"
"AT3G59400",9588,0.087,"protein GENOMES UNCOUPLED 4(GUN4)","GUN4"
"AT3G59990",9518,0.087,"methionine aminopeptidase 2B(MAP2B)","MAP2B"
"AT3G61020",9880,0.087,"miscRNA(AT3G61020)","AT3G61020"
"AT4G04740",9825,0.087,"calcium-dependent protein kinase 23(CPK23)","CPK23"
"AT4G07410",9588,0.087,"Transducin family protein / WD-40 repeat family protein(PCN)","PCN"
"AT4G11450",9543,0.087,"bromo-adjacent domain protein, putative (DUF3527)(AT4G11450)","AT4G11450"
"AT4G28290",9905,0.087,"hypothetical protein(AT4G28290)","AT4G28290"
"AT4G31060",9588,0.087,"Integrase-type DNA-binding superfamily protein(AT4G31060)","AT4G31060"
"AT4G31760",9593,0.087,"peroxidase superfamily protein(AT4G31760)","AT4G31760"
"AT4G32760",9601,0.087,"ENTH/VHS/GAT family protein(AT4G32760)","AT4G32760"
"AT5G01910",9844,0.087,"myelin transcription factor(AT5G01910)","AT5G01910"
"AT5G08120",9543,0.087,"movement protein binding protein 2C(MPB2C)","MPB2C"
"AT5G17580",9526,0.087,"Phototropic-responsive NPH3 family protein(AT5G17580)","AT5G17580"
"AT5G26690",9846,0.087,"Heavy metal transport/detoxification superfamily protein(AT5G26690)","AT5G26690"
"AT5G38250",9586,0.087,"Protein kinase family protein(AT5G38250)","AT5G38250"
"AT5G42480",9550,0.087,"Chaperone DnaJ-domain superfamily protein(ARC6)","ARC6"
"AT5G44417",8357,0.087,"miscRNA(AT5G44417)","AT5G44417"
"AT5G51060",9550,0.087,"NADPH/respiratory burst oxidase protein D(RHD2)","RHD2"
"AT5G52680",9586,0.087,"Copper transport protein family(AT5G52680)","AT5G52680"
"AT5G59270",9846,0.087,"Concanavalin A-like lectin protein kinase family protein(AT5G59270)","AT5G59270"
"AT5G65165",9524,0.087,"succinate dehydrogenase 2-3(SDH2-3)","SDH2-3"
"AT5G65720",9874,0.087,"nitrogen fixation S (NIFS)-like 1(NFS1)","NFS1"
"AT5G65730",9880,0.087,"xyloglucan endotransglucosylase/hydrolase 6(XTH6)","XTH6"
"AT1G02870",9567,0.086,"nucleolar-like protein(AT1G02870)","AT1G02870"
"AT1G06400",9825,0.086,"Ras-related small GTP-binding family protein(ARA-2)","ARA-2"
"AT1G12980",9855,0.086,"Integrase-type DNA-binding superfamily protein(ESR1)","ESR1"
"AT1G14350",9871,0.086,"Duplicated homeodomain-like superfamily protein(FLP)","FLP"
"AT1G29710",9844,0.086,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G29710)","AT1G29710"
"AT1G31070",9588,0.086,"N-acetylglucosamine-1-phosphate uridylyltransferase 1(GlcNAc1pUT1)","GlcNAc1pUT1"
"AT1G59530",9550,0.086,"basic leucine-zipper 4(bZIP4)","bZIP4"
"AT1G64500",9598,0.086,"Glutaredoxin family protein(AT1G64500)","AT1G64500"
"AT1G69530",9944,0.086,"expansin A1(EXPA1)","EXPA1"
"AT1G71430",9543,0.086,"hypothetical protein(AT1G71430)","AT1G71430"
"AT1G72850",9880,0.086,"Disease resistance protein (TIR-NBS class)(AT1G72850)","AT1G72850"
"AT1G77130",9560,0.086,"plant glycogenin-like starch initiation protein 2(PGSIP2)","PGSIP2"
"AT2G05410",9874,0.086,"MATH domain/coiled-coil protein(AT2G05410)","AT2G05410"
"AT2G07180",9522,0.086,"Protein kinase superfamily protein(AT2G07180)","AT2G07180"
"AT2G21020",9944,0.086,"miscRNA(AT2G21020)","AT2G21020"
"AT2G22760",9560,0.086,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G22760)","AT2G22760"
"AT2G25900",9844,0.086,"Zinc finger C-x8-C-x5-C-x3-H type family protein(ATCTH)","ATCTH"
"AT2G29320",6970,0.086,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G29320)","AT2G29320"
"AT2G35742",9845,0.086,"ncRNA(AT2G35742)","AT2G35742"
"AT2G41150",9825,0.086,"plant/protein(AT2G41150)","AT2G41150"
"AT3G04450",9522,0.086,"Homeodomain-like superfamily protein(AT3G04450)","AT3G04450"
"AT3G04900",9586,0.086,"Heavy metal transport/detoxification superfamily protein(AT3G04900)","AT3G04900"
"AT3G16230",9846,0.086,"Putative eukaryotic LigT(AT3G16230)","AT3G16230"
"AT3G17300",9601,0.086,"COMPLEX 1 LYR-like protein(EMB2786)","EMB2786"
"AT3G19630",9533,0.086,"Radical SAM superfamily protein(AT3G19630)","AT3G19630"
"AT3G27180",9846,0.086,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G27180)","AT3G27180"
"AT3G49800",9533,0.086,"BSD domain-containing protein(AT3G49800)","AT3G49800"
"AT3G50110",9524,0.086,"PTEN 3(PEN3)","PEN3"
"AT4G00905",6970,0.086,"NC domain-containing protein-like protein(AT4G00905)","AT4G00905"
"AT4G03813",9593,0.086,"hypothetical protein(AT4G03813)","AT4G03813"
"AT4G12040",9846,0.086,"A20/AN1-like zinc finger family protein(SAP7)","SAP7"
"AT4G18370",9533,0.086,"DEGP protease 5(DEG5)","DEG5"
"AT4G26330",9547,0.086,"Subtilisin-like serine endopeptidase family protein(UNE17)","UNE17"
"AT5G04880",9543,0.086,"miscRNA(AT5G04880)","AT5G04880"
"AT5G07760",9547,0.086,"formin homology 2 domain-containing protein / FH2 domain-containing protein(AT5G07760)","AT5G07760"
"AT5G11320",9819,0.086,"Flavin-binding monooxygenase family protein(YUC4)","YUC4"
"AT5G12960",9533,0.086,"proline-tRNA ligase (DUF1680)(AT5G12960)","AT5G12960"
"AT5G25760",9944,0.086,"peroxin4(PEX4)","PEX4"
"AT5G25840",9533,0.086,"DUF1677 family protein (DUF1677)(AT5G25840)","AT5G25840"
"AT5G35770",9518,0.086,"Transducin/WD40 repeat-like superfamily protein(SAP)","SAP"
"AT5G41560",9598,0.086,"DET1 complexing ubiquitin ligase(AT5G41560)","AT5G41560"
"AT5G49730",9557,0.086,"ferric reduction oxidase 6(FRO6)","FRO6"
"AT5G60850",9543,0.086,"OBF binding protein 4(OBP4)","OBP4"
"AT5G63220",9586,0.086,"golgi-to-ER traffic-like protein(AT5G63220)","AT5G63220"
"AT1G01630",9846,0.085,"Sec14p-like phosphatidylinositol transfer family protein(AT1G01630)","AT1G01630"
"AT1G02730",9905,0.085,"cellulose synthase-like D5(CSLD5)","CSLD5"
"AT1G09860",9844,0.085,"purine permease 16(PUP16)","PUP16"
"AT1G16570",9587,0.085,"UDP-Glycosyltransferase superfamily protein(AT1G16570)","AT1G16570"
"AT1G19396",9560,0.085,"hypothetical protein(AT1G19396)","AT1G19396"
"AT1G28350",9567,0.085,"Nucleotidylyl transferase superfamily protein(AT1G28350)","AT1G28350"
"AT1G66080",6970,0.085,"hikeshi-like protein(AT1G66080)","AT1G66080"
"AT2G18730",9832,0.085,"diacylglycerol kinase 3(DGK3)","DGK3"
"AT2G23770",9518,0.085,"protein kinase family protein / peptidoglycan-binding LysM domain-containing protein(LYK4)","LYK4"
"AT2G30942",9533,0.085,"transmembrane protein, putative (DUF3317)(AT2G30942)","AT2G30942"
"AT2G32220",9855,0.085,"Ribosomal L27e protein family(AT2G32220)","AT2G32220"
"AT3G02660",8357,0.085,"Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial(EMB2768)","EMB2768"
"AT3G06430",9533,0.085,"Tetratricopeptide repeat (TPR)-like superfamily protein(PPR2)","PPR2"
"AT3G08520",9547,0.085,"Ribosomal protein L41 family(AT3G08520)","AT3G08520"
"AT3G12150",9874,0.085,"alpha/beta hydrolase family protein(AT3G12150)","AT3G12150"
"AT3G15740",9568,0.085,"RING/U-box superfamily protein(AT3G15740)","AT3G15740"
"AT3G17790",9944,0.085,"purple acid phosphatase 17(PAP17)","PAP17"
"AT3G29390",9855,0.085,"RS2-interacting KH protein(RIK)","RIK"
"AT3G30737",9601,0.085,"hypothetical protein(AT3G30737)","AT3G30737"
"AT3G42725",9855,0.085,"Putative membrane lipoprotein(AT3G42725)","AT3G42725"
"AT3G44110",9568,0.085,"DNAJ homologue 3(J3)","J3"
"AT3G47875",9601,0.085,"hypothetical protein(AT3G47875)","AT3G47875"
"AT3G48450",9584,0.085,"RPM1-interacting protein 4 (RIN4) family protein(AT3G48450)","AT3G48450"
"AT3G59130",9855,0.085,"Cysteine/Histidine-rich C1 domain family protein(AT3G59130)","AT3G59130"
"AT4G03210",9557,0.085,"xyloglucan endotransglucosylase/hydrolase 9(XTH9)","XTH9"
"AT4G03420",9874,0.085,"hypothetical protein (DUF789)(AT4G03420)","AT4G03420"
"AT4G11690",9874,0.085,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT4G11690)","AT4G11690"
"AT4G14440",9845,0.085,"3-hydroxyacyl-CoA dehydratase 1(HCD1)","HCD1"
"AT4G23690",9598,0.085,"Disease resistance-responsive (dirigent-like protein) family protein(DIR6)","DIR6"
"AT4G25560",9518,0.085,"myb domain protein 18(LAF1)","LAF1"
"AT4G28556",9845,0.085,"PAK-box/P21-Rho-binding family protein(RIC7)","RIC7"
"AT4G30680",9567,0.085,"Initiation factor eIF-4 gamma, MA3(AT4G30680)","AT4G30680"
"AT4G34730",9560,0.085,"ribosome-binding factor A family protein(AT4G34730)","AT4G34730"
"AT4G35750",9522,0.085,"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein(AT4G35750)","AT4G35750"
"AT4G37530",9550,0.085,"Peroxidase superfamily protein(AT4G37530)","AT4G37530"
"AT5G14600",9855,0.085,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G14600)","AT5G14600"
"AT5G17930",9518,0.085,"MIF4G domain-containing protein / MA3 domain-containing protein(AT5G17930)","AT5G17930"
"AT5G22400",9874,0.085,"Rho GTPase activating protein with PAK-box/P21-Rho-binding domain-containing protein(AT5G22400)","AT5G22400"
"AT5G49690",9533,0.085,"UDP-Glycosyltransferase superfamily protein(AT5G49690)","AT5G49690"
"AT5G51110",9568,0.085,"Transcriptional coactivator/pterin dehydratase(AT5G51110)","AT5G51110"
"AT5G55970",9588,0.085,"RING/U-box superfamily protein(AT5G55970)","AT5G55970"
"AT5G56160",9944,0.085,"Sec14p-like phosphatidylinositol transfer family protein(AT5G56160)","AT5G56160"
"AT5G60680",9846,0.085,"transcription initiation factor TFIID subunit (Protein of unknown function, DUF584)(AT5G60680)","AT5G60680"
"AT1G01350",6970,0.084,"Zinc finger (CCCH-type/C3HC4-type RING finger) family protein(AT1G01350)","AT1G01350"
"AT1G11710",9524,0.084,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G11710)","AT1G11710"
"AT1G18430",9598,0.084,"tRNA(AT1G18430)","AT1G18430"
"AT1G24851",9524,0.084,"hypothetical protein(AT1G24851)","AT1G24851"
"AT1G29830",9526,0.084,"Magnesium transporter CorA-like family protein(AT1G29830)","AT1G29830"
"AT1G34510",9601,0.084,"Peroxidase superfamily protein(AT1G34510)","AT1G34510"
"AT1G35680",9598,0.084,"Ribosomal protein L21(RPL21C)","RPL21C"
"AT1G54310",9567,0.084,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G54310)","AT1G54310"
"AT1G55820",9567,0.084,"lysine-specific demethylase, putative (DUF1296)(AT1G55820)","AT1G55820"
"AT1G56570",9588,0.084,"Tetratricopeptide repeat (TPR)-like superfamily protein(PGN)","PGN"
"AT1G72690",9586,0.084,"neurofilament heavy protein(AT1G72690)","AT1G72690"
"AT1G73360",9586,0.084,"homeodomain GLABROUS 11(HDG11)","HDG11"
"AT1G74270",9547,0.084,"Ribosomal protein L35Ae family protein(AT1G74270)","AT1G74270"
"AT1G79390",9845,0.084,"centrosomal protein(AT1G79390)","AT1G79390"
"AT2G18520",9533,0.084,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G18520)","AT2G18520"
"AT2G26080",9533,0.084,"glycine decarboxylase P-protein 2(GLDP2)","GLDP2"
"AT2G36550",9522,0.084,"haloacid dehalogenase-like hydrolase family protein(AT2G36550)","AT2G36550"
